## with BDT trained on QQHH after selection on collinear mass

## cut on BST_score 0.5 and fit on BDT_score for QQHH, QQLH, QQLL, NuNuHH, NuNuLH, NuNuLL
 
### correct calculation fo the cosine

QQ/LL:  1.00002  -0.119719/+0.121386  (68% CL)
 
QQ/LH:  1  -0.0252252/+0.0256023  (68% CL)
 
QQ/HH:  1  -0.0228005/+0.0232175  (68% CL)
 
QQ:  1.00003  -0.0150342/+0.0151166  (68% CL)
 
LL/LL:  1  -0.21146/+0.272181  (68% CL)
 
LL/LH:  1  -0.119013/+0.137671  (68% CL)
 
LL/HH:  1.00001  -0.0811698/+0.0898903  (68% CL)
 
LL:  1  -0.0646731/+0.0699814  (68% CL)
 
NuNu/LL:  1.00015  -0.898157/+0.899713  (68% CL)
 
NuNu/LH:  0.999592  -0.129452/+0.130658  (68% CL)
 
NuNu/HH:  1.00001  -0.0585617/+0.0587914  (68% CL)
 
NuNu:  0.999557  -0.0484989/+0.0495104  (68% CL)
 
combined:  1.00002  -0.0105662/+0.0105892  (68% CL)
 
## bigger bdt training

QQ/LL:  1.00004  -0.256807/+0.25995  (68% CL)
 
QQ/LH:  1.00001  -0.0337349/+0.0341646  (68% CL)
 
QQ/HH:  1  -0.025309/+0.0257852  (68% CL)
 
QQ:  1  -0.0166459/+0.0168006  (68% CL)
 
LL/LL:  1  -0.21146/+0.272181  (68% CL)
 
LL/LH:  1  -0.119013/+0.137671  (68% CL)
 
LL/HH:  1.00001  -0.0811698/+0.0898903  (68% CL)
 
LL:  1  -0.0646731/+0.0699814  (68% CL)
 
NuNu/LL:  0.988683  -1.85456/+1.87961  (68% CL)
 
NuNu/LH:  1.00002  -0.131959/+0.132269  (68% CL)
 
NuNu/HH:  1.00001  -0.0598662/+0.0600684  (68% CL)
 
NuNu:  1.00001  -0.0495127/+0.0496027  (68% CL)
 
combined:  1  -0.0110949/+0.0111473  (68% CL)

# 100 bins, exept QQLL with 10 for 200 trees

QQ/LL:  1.00036  -0.333559/+0.337252  (68% CL)
 
QQ/LH:  1  -0.0259133/+0.0262837  (68% CL)
 
QQ/HH:  1.00003  -0.0229469/+0.023309  (68% CL)
 
QQ:  1  -0.015285/+0.0154302  (68% CL)
 
LL/LL:  1  -0.21146/+0.272181  (68% CL)
 
LL/LH:  1  -0.119013/+0.137671  (68% CL)
 
LL/HH:  1.00001  -0.0811698/+0.0898903  (68% CL)
 
LL:  1  -0.0646731/+0.0699814  (68% CL)
 
NuNu/LL:  1.00016  -0.986804/+0.988214  (68% CL)
 
NuNu/LH:  1.00002  -0.13269/+0.133028  (68% CL)
 
NuNu/HH:  1.00001  -0.0604836/+0.0606986  (68% CL)
 
NuNu:  1.00001  -0.0502289/+0.0503277  (68% CL)
 
combined:  1  -0.0106669/+0.0107217  (68% CL)
 
###########

#pnet tau, without QQLL

QQ/LL:  1.00001  -0.164966/+0.171551  (68% CL)
 
QQ/LH:  1  -0.0284026/+0.0290626  (68% CL)
 
QQ/HH:  1  -0.0309775/+0.0319761  (68% CL)
 
QQ:  1  -0.0174388/+0.0177115  (68% CL)
 
LL/LL:  1  -0.211172/+0.271753  (68% CL)
 
LL/LH:  1.00001  -0.0919025/+0.10183  (68% CL)
 
LL/HH:  1.00001  -0.0610303/+0.0657535  (68% CL)
 
LL:  1  -0.0491573/+0.0520927  (68% CL)
 
NuNu/LL:  0.991265  -1.00089/+1.02034  (68% CL)
 
NuNu/LH:  0.999477  -0.127992/+0.129343  (68% CL)
 
NuNu/HH:  0.999842  -0.0547667/+0.0552707  (68% CL)
 
NuNu:  0.999986  -0.0450746/+0.045193  (68% CL)
 
combined:  1  -0.00848155/+0.00851869  (68% CL)


#bigger BDT with 1000 trees and a depth of 4
 
QQ/LL:  1.0001  -0.109934/+0.111482  (68% CL)
 
QQ/LH:  1  -0.0350547/+0.0358777  (68% CL)
 
QQ/HH:  1.00002  -0.0354693/+0.0367637  (68% CL)
 
QQ:  1  -0.0162538/+0.016456  (68% CL)
 
LL/LL:  1.00005  -0.188121/+0.197423  (68% CL)
 
LL/LH:  1  -0.0871597/+0.095374  (68% CL)
 
LL/HH:  1.00001  -0.0568124/+0.0607602  (68% CL)
 
LL:  1.00001  -0.0303648/+0.031263  (68% CL)
 
NuNu/LL:  1.00032  -2.18236/+2.18449  (68% CL)
 
NuNu/LH:  1.00002  -0.125805/+0.12605  (68% CL)
 
NuNu/HH:  1.00001  -0.0485785/+0.048724  (68% CL)
 
NuNu:  1.00001  -0.0408515/+0.0409187  (68% CL)
 
combined:  1  -0.00848033/+0.00851533  (68% CL)


#cleaned up vars and BDT with 200 trees and depth of 4
 
QQ/LL:  1.00009  -0.0940943/+0.0953024  (68% CL)
 
QQ/LH:  1  -0.0284026/+0.0290626  (68% CL)
 
QQ/HH:  1  -0.0309775/+0.0319761  (68% CL)
 
QQ:  1.00003  -0.0145594/+0.014676  (68% CL)
 
LL/LL:  1.00005  -0.188121/+0.197423  (68% CL)
 
LL/LH:  1  -0.0871597/+0.095374  (68% CL)
 
LL/HH:  1.00001  -0.0568124/+0.0607602  (68% CL)
 
LL:  1.00001  -0.0303648/+0.031263  (68% CL)
 
NuNu/LL:  0.991265  -1.00089/+1.02034  (68% CL)
 
NuNu/LH:  0.999477  -0.127992/+0.129343  (68% CL)
 
NuNu/HH:  0.999842  -0.0547667/+0.0552707  (68% CL)
 
NuNu:  0.999986  -0.0450746/+0.045193  (68% CL)
 
combined:  0.999993  -0.00850859/+0.00856244  (68% CL)


 
