## with BDT trained on QQHH after selection on collinear mass

## cut on BST_score 0.5 and fit on BDT_score for QQHH, QQLH, QQLL, NuNuHH, NuNuLH, NuNuLL
 
QQ/LL:  1.00015  -0.133513/+0.134939  (68% CL)
 
QQ/LH:  1.00004  -0.0256346/+0.0259399  (68% CL)
 
QQ/HH:  1.00003  -0.0228522/+0.023222  (68% CL)
 
QQ:  1.00002  -0.0160291/+0.0161749  (68% CL)
 
LL/LL:  1.00001  -0.219315/+0.271913  (68% CL)
 
LL/LH:  1.00001  -0.10732/+0.121276  (68% CL)
 
LL/HH:  1  -0.076209/+0.0836675  (68% CL)
 
LL:  1.00001  -0.0589654/+0.063186  (68% CL)
 
NuNu/LL:  0.990148  -1.00608/+1.0275  (68% CL)
 
NuNu/LH:  1.00002  -0.154314/+0.154661  (68% CL)
 
NuNu/HH:  1.00001  -0.0671796/+0.0674393  (68% CL)
 
NuNu:  0.999976  -0.0542466/+0.0544167  (68% CL)
 
combined:  1.00002  -0.010678/+0.0107036  (68% CL)


## new training 
QQ/LL:  1.00002  -0.121222/+0.122914  (68% CL)
 
QQ/LH:  1  -0.025827/+0.0262063  (68% CL)
 
QQ/HH:  1.00003  -0.0228016/+0.0231694  (68% CL)
 
QQ:  1  -0.0151469/+0.0152913  (68% CL)
 
LL/LL:  1.00001  -0.219315/+0.271913  (68% CL)
 
LL/LH:  1.00001  -0.10732/+0.121276  (68% CL)
 
LL/HH:  1  -0.076209/+0.0836675  (68% CL)
 
LL:  1.00001  -0.0589654/+0.063186  (68% CL)
 
NuNu/LL:  1.00004  -1.02376/+1.02544  (68% CL)
 
NuNu/LH:  1.00002  -0.159282/+0.159632  (68% CL)
 
NuNu/HH:  1.00001  -0.0698366/+0.0700817  (68% CL)
 
NuNu:  0.999996  -0.0566453/+0.0567707  (68% CL)
 
combined:  0.99994  -0.0106405/+0.0108196  (68% CL)
 
