ktN-explicit/QQ/LL:  0.999956  -11/+19  (68% CL)
 
ktN-explicit/QQ/LH:  1  -1.16262/+1.162  (68% CL)
 
ktN-explicit/QQ/HH:  1  -0.0536928/+0.0535162  (68% CL)
 
ktN-explicit/QQ:  1  -0.0469696/+0.0470011  (68% CL)
 
ktN-explicit/LL/LL:  0.999998  -0.0977522/+0.0991321  (68% CL)
 
ktN-explicit/LL/LH:  1  -0.0263136/+0.0266329  (68% CL)
 
ktN-explicit/LL/HH:  1  -0.024728/+0.0250395  (68% CL)
 
ktN-explicit/LL:  1  -0.0178633/+0.0180217  (68% CL)
 
ktN-explicit/NuNu/LL:  1  -1.45615/+1.44716  (68% CL)
 
ktN-explicit/NuNu/LH:  0.999999  -0.378822/+0.378006  (68% CL)
 
ktN-explicit/NuNu/HH:  1  -0.257205/+0.255976  (68% CL)
 
ktN-explicit/NuNu:  1  -0.103816/+0.103847  (68% CL)
 
ktN-explicit combined:  1  -0.016433/+0.0165418  (68% CL)
 

