ktN-explicit/QQ/LL:  0.999548  -10.9995/+19.0005  (68% CL)
 
ktN-explicit/QQ/LH:  0.999908  -10.9999/+19.0001  (68% CL)
 
ktN-explicit/QQ/HH:  0.999857  -10.9999/+19.0001  (68% CL)
 
ktN-explicit/QQ:  0.999882  -10.9999/+19.0001  (68% CL)
 
ktN-explicit/LL/LL:  1  -0.0899756/+0.0912678  (68% CL)
 
ktN-explicit/LL/LH:  1  -0.0249839/+0.0253079  (68% CL)
 
ktN-explicit/LL/HH:  1  -0.0240021/+0.0243235  (68% CL)
 
ktN-explicit/LL:  1  -0.0172349/+0.0173874  (68% CL)
 
ktN-explicit/NuNu/LL:  1.13473  -11.1347/+18.8653  (68% CL)
 
ktN-explicit/NuNu/LH:  1.00677  -11.0068/+18.9932  (68% CL)
 
ktN-explicit/NuNu/HH:  1.00035  -11.0004/+18.9996  (68% CL)
 
ktN-explicit/NuNu:  1.00065  -11.0006/+18.9994  (68% CL)
 
ktN-explicit combined:  1  -0.0169723/+0.0171906  (68% CL)
 

ktN-explicit/QQ/LL:  0.999992  -11/+19  (68% CL)
 
ktN-explicit/QQ/LH:  1  -0.929491/+0.930677  (68% CL)
 
ktN-explicit/QQ/HH:  1  -0.0358118/+0.0362281  (68% CL)
 
ktN-explicit/QQ:  1  -0.0306165/+0.0306752  (68% CL)
 
ktN-explicit/LL/LL:  1  -0.0908392/+0.0921451  (68% CL)
 
ktN-explicit/LL/LH:  1  -0.0253746/+0.0256982  (68% CL)
 
ktN-explicit/LL/HH:  1  -0.0241147/+0.0244363  (68% CL)
 
ktN-explicit/LL:  1  -0.017596/+0.0176062  (68% CL)
 
ktN-explicit/NuNu/LL:  1.00001  -0.924535/+0.924496  (68% CL)
 
ktN-explicit/NuNu/LH:  1  -0.293029/+0.293452  (68% CL)
 
ktN-explicit/NuNu/HH:  1  -0.216405/+0.216161  (68% CL)
 
ktN-explicit/NuNu:  1  -0.0797848/+0.0803563  (68% CL)
 
ktN-explicit combined:  1  -0.014313/+0.0146821  (68% CL)
 

