R5-explicit/QQ/LL:  0.999995  -0.302908/+0.300845  (68% CL)
 
R5-explicit/QQ/LH:  1  -0.0263161/+0.0264246  (68% CL)
 
R5-explicit/QQ/HH:  1  -0.025596/+0.0254551  (68% CL)
 
R5-explicit/QQ:  1  -0.0178417/+0.0180217  (68% CL)
 
R5-explicit/LL/LL:  0.999997  -0.169506/+0.174186  (68% CL)
 
R5-explicit/LL/LH:  1  -0.0442934/+0.0454621  (68% CL)
 
R5-explicit/LL/HH:  1  -0.0234823/+0.0236083  (68% CL)
 
R5-explicit/LL:  1  -0.0202076/+0.0208381  (68% CL)
 
R5-explicit/NuNu/LL:  0.999986  -4.20156/+4.18791  (68% CL)
 
R5-explicit/NuNu/LH:  0.999998  -0.548154/+0.547674  (68% CL)
 
R5-explicit/NuNu/HH:  0.999998  -0.279076/+0.278171  (68% CL)
 
R5-explicit/NuNu:  0.999999  -0.10185/+0.102041  (68% CL)
 
R5-explicit combined:  1  -0.0124885/+0.0125458  (68% CL)
 

R5-tag/QQ/LL:  1  -0.263613/+0.261298  (68% CL)
 
R5-tag/QQ/LH:  1  -0.0252573/+0.0250395  (68% CL)
 
R5-tag/QQ/HH:  1  -0.0144864/+0.0143627  (68% CL)
 
R5-tag/QQ:  1  -0.0117557/+0.0117032  (68% CL)
 
R5-tag/LL/LL:  0.999997  -0.169506/+0.174186  (68% CL)
 
R5-tag/LL/LH:  1  -0.0410895/+0.0418146  (68% CL)
 
R5-tag/LL/HH:  1  -0.0181334/+0.018312  (68% CL)
 
R5-tag/LL:  1  -0.0166079/+0.0167536  (68% CL)
 
R5-tag/NuNu/LL:  0.999986  -4.20156/+4.18791  (68% CL)
 
R5-tag/NuNu/LH:  0.999996  -0.641423/+0.641042  (68% CL)
 
R5-tag/NuNu/HH:  0.999998  -0.303336/+0.301983  (68% CL)
 
R5-tag/NuNu:  0.999999  -0.100694/+0.101071  (68% CL)
 
R5-tag combined:  1  -0.00907603/+0.00910739  (68% CL)
 

ktN-explicit/QQ/LL:  0.999997  -0.299684/+0.294914  (68% CL)
 
ktN-explicit/QQ/LH:  1  -0.0297898/+0.029378  (68% CL)
 
ktN-explicit/QQ/HH:  1  -0.0726309/+0.0721381  (68% CL)
 
ktN-explicit/QQ:  1  -0.0249426/+0.0250395  (68% CL)
 
ktN-explicit/LL/LL:  0.999997  -0.169506/+0.174186  (68% CL)
 
ktN-explicit/LL/LH:  1  -0.0508463/+0.0525466  (68% CL)
 
ktN-explicit/LL/HH:  1  -0.0241212/+0.0245778  (68% CL)
 
ktN-explicit/LL:  1  -0.0215931/+0.0222232  (68% CL)
 
ktN-explicit/NuNu/LL:  0.999986  -4.20156/+4.18791  (68% CL)
 
ktN-explicit/NuNu/LH:  0.999991  -0.596529/+0.596077  (68% CL)
 
ktN-explicit/NuNu/HH:  0.999997  -0.277576/+0.276786  (68% CL)
 
ktN-explicit/NuNu:  0.999998  -0.103528/+0.103578  (68% CL)
 
ktN-explicit combined:  1  -0.0149091/+0.0149815  (68% CL)
 

ktN-tag/QQ/LL:  0.999996  -0.234015/+0.230976  (68% CL)
 
ktN-tag/QQ/LH:  1  -0.024732/+0.0242257  (68% CL)
 
ktN-tag/QQ/HH:  1  -0.0222339/+0.0218076  (68% CL)
 
ktN-tag/QQ:  1  -0.0142228/+0.0146821  (68% CL)
 
ktN-tag/LL/LL:  0.999997  -0.169506/+0.174186  (68% CL)
 
ktN-tag/LL/LH:  1  -0.0522349/+0.0539922  (68% CL)
 
ktN-tag/LL/HH:  1  -0.0224796/+0.0226387  (68% CL)
 
ktN-tag/LL:  1  -0.0203051/+0.0208381  (68% CL)
 
ktN-tag/NuNu/LL:  0.999986  -4.20156/+4.18791  (68% CL)
 
ktN-tag/NuNu/LH:  0.99999  -0.539013/+0.538781  (68% CL)
 
ktN-tag/NuNu/HH:  0.999997  -0.397629/+0.395977  (68% CL)
 
ktN-tag/NuNu:  0.999998  -0.131923/+0.132257  (68% CL)
 
ktN-tag combined:  1  -0.0101964/+0.0102187  (68% CL)
 

