## with BDT trained on QQHH after selection on collinear mass

## cut on BST_score 0.5 and fit on BDT_score for QQHH, QQLH, QQLL, NuNuHH, NuNuLH, NuNuLL
 
QQ/LL:  1.00015  -0.133513/+0.134939  (68% CL)
 
QQ/LH:  1.00004  -0.0256346/+0.0259399  (68% CL)
 
QQ/HH:  1.00003  -0.0228522/+0.023222  (68% CL)
 
QQ:  1.00002  -0.0160291/+0.0161749  (68% CL)
 
LL/LL:  1.00001  -0.219315/+0.271913  (68% CL)
 
LL/LH:  1.00001  -0.10732/+0.121276  (68% CL)
 
LL/HH:  1  -0.076209/+0.0836675  (68% CL)
 
LL:  1.00001  -0.0589654/+0.063186  (68% CL)
 
NuNu/LL:  0.990148  -1.00608/+1.0275  (68% CL)
 
NuNu/LH:  1.00002  -0.154314/+0.154661  (68% CL)
 
NuNu/HH:  1.00001  -0.0671796/+0.0674393  (68% CL)
 
NuNu:  0.999976  -0.0542466/+0.0544167  (68% CL)
 
combined:  1.00002  -0.010678/+0.0107036  (68% CL)


## new training 
QQ/LL:  1.00002  -0.121222/+0.122914  (68% CL)
 
QQ/LH:  1  -0.025827/+0.0262063  (68% CL)
 
QQ/HH:  1.00003  -0.0228016/+0.0231694  (68% CL)
 
QQ:  1  -0.0151469/+0.0152913  (68% CL)
 
LL/LL:  1.00001  -0.219315/+0.271913  (68% CL)
 
LL/LH:  1.00001  -0.10732/+0.121276  (68% CL)
 
LL/HH:  1  -0.076209/+0.0836675  (68% CL)
 
LL:  1.00001  -0.0589654/+0.063186  (68% CL)
 
NuNu/LL:  1.00004  -1.02376/+1.02544  (68% CL)
 
NuNu/LH:  1.00002  -0.159282/+0.159632  (68% CL)
 
NuNu/HH:  1.00001  -0.0698366/+0.0700817  (68% CL)
 
NuNu:  0.999996  -0.0566453/+0.0567707  (68% CL)
 
combined:  0.99994  -0.0106405/+0.0108196  (68% CL)

#New variables added
 
QQ/LL:  1.00001  -0.104287/+0.105884  (68% CL)
 
QQ/LH:  1.00003  -0.0284907/+0.0291046  (68% CL)
 
QQ/HH:  1  -0.0309775/+0.0319761  (68% CL)
 
QQ:  1.00003  -0.0150111/+0.0151414  (68% CL)
 
LL/LL:  1.00005  -0.188121/+0.197423  (68% CL)
 
LL/LH:  1  -0.0871597/+0.095374  (68% CL)
 
LL/HH:  1.00001  -0.0568124/+0.0607602  (68% CL)
 
LL:  1.00001  -0.0303648/+0.031263  (68% CL)
 
NuNu/LL:  1.00017  -1.01108/+1.01275  (68% CL)
 
NuNu/LH:  0.999498  -0.122912/+0.124233  (68% CL)
 
NuNu/HH:  0.999842  -0.0547667/+0.0552707  (68% CL)
 
NuNu:  1.00001  -0.0448813/+0.0449542  (68% CL)
 
combined:  0.999954  -0.00847424/+0.00860608  (68% CL)

#binning changed from 200 to 100 bins
 
QQ/LL:  1.00001  -0.119913/+0.121741  (68% CL)
 
QQ/LH:  1.00003  -0.0289157/+0.0295282  (68% CL)
 
QQ/HH:  1.00002  -0.0311257/+0.0320848  (68% CL)
 
QQ:  1.00003  -0.015189/+0.0153218  (68% CL)
 
LL/LL:  1.00005  -0.188121/+0.197423  (68% CL)
 
LL/LH:  1  -0.0871597/+0.095374  (68% CL)
 
LL/HH:  1.00001  -0.0568124/+0.0607602  (68% CL)
 
LL:  1.00001  -0.0303648/+0.031263  (68% CL)
 
NuNu/LL:  1.00015  -1.11724/+1.11882  (68% CL)
 
NuNu/LH:  1.00002  -0.125136/+0.125397  (68% CL)
 
NuNu/HH:  0.999842  -0.0563458/+0.0568355  (68% CL)
 
NuNu:  1.00001  -0.045825/+0.0458893  (68% CL)
 
combined:  1  -0.00855039/+0.00858753  (68% CL)
 
# clean up variables

QQ/LL:  1.00009  -0.0940943/+0.0953024  (68% CL)
 
QQ/LH:  1  -0.0284026/+0.0290626  (68% CL)
 
QQ/HH:  1  -0.0309775/+0.0319761  (68% CL)
 
QQ:  1.00003  -0.0145594/+0.014676  (68% CL)
 
LL/LL:  1.00005  -0.188121/+0.197423  (68% CL)
 
LL/LH:  1  -0.0871597/+0.095374  (68% CL)
 
LL/HH:  1.00001  -0.0568124/+0.0607602  (68% CL)
 
LL:  1.00001  -0.0303648/+0.031263  (68% CL)
 
NuNu/LL:  0.991265  -1.00089/+1.02034  (68% CL)
 
NuNu/LH:  0.999477  -0.127992/+0.129343  (68% CL)
 
NuNu/HH:  0.999842  -0.0547667/+0.0552707  (68% CL)
 
NuNu:  0.999986  -0.0450746/+0.045193  (68% CL)
 
combined:  0.999993  -0.00850859/+0.00856244  (68% CL)
 
